StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,psu,adult,sex,sex_6_TEXT,age,education,edu_subject,edu_subject_6_TEXT,province,state,family,ideology_1,ideology_2,ideology_3,ideology_4,ideology_5,us_edu,income,china_assist,race_disc,Q48,covid_assess_1,covid_assess_2,covid_assess_3,us_aid,kit,kit_got,kit_timely,return,return_reason,return_reason_5_TEXT,quar_assess,quar_reason,quar_reason_5_TEXT,quar_exempt,QID66_First Click,QID66_Last Click,QID66_Page Submit,QID66_Click Count,QID67_First Click,QID67_Last Click,QID67_Page Submit,QID67_Click Count,gov_assess_1,gov_assess_2,gov_assess_3,gov_assess_4,china_overall,china_gov,QID68_First Click,QID68_Last Click,QID68_Page Submit,QID68_Click Count,QID69_First Click,QID69_Last Click,QID69_Page Submit,QID69_Click Count,QID70_First Click,QID70_Last Click,QID70_Page Submit,QID70_Click Count,QID71_First Click,QID71_Last Click,QID71_Page Submit,QID71_Click Count,exclusion,group,finish
2020-08-28 12:26:59,2020-08-28 12:29:42,IP Address,71.58.211.53,100,162,TRUE,2020-08-28 12:29:42,R_eKTUI3lMwy04ACd,,,,,40.7957000732422000,-77.8618011474609000,anonymous,ZH-S,是,是,女,,1999,本科在读,商科,,广东,Pennsylvania,"私营企业或外资企业基层白领,无业/失业",强烈同意,同意,同意,强烈同意,强烈同意,高中,校内工作或实习收入（含全额奖学金）,从没有,我没有遇到过，但我认识的人遇到过,没有,非常严重,非常严重,比较严重,二者均无,有,是,及时,未曾回国,"工作安排或学业计划,签证因素，或担心返美时能否顺利入境,担心旅途期间增加感染几率",,,,,,,,,,,,,,5,1,5,1,满意,既不同意也不反对,,,,,,,,,0.815,12.078,12.108,5,0.781,6.605,8.84,7,,additive,yes
2020-08-28 12:27:09,2020-08-28 12:30:10,IP Address,76.10.24.28,100,180,TRUE,2020-08-28 12:30:11,R_2OUfuzOjWR9C493,,,,,40.810302734375,-77.88800048828130,anonymous,ZH-S,是,是,女,,1998,本科在读,人文学科及艺术,,北京,Pennsylvania,私营企业主,反对,同意,同意,反对,反对,高中,校内工作或实习收入（含全额奖学金）,从没有,我遇到过,没有,非常严重,比较严重,不怎么严重,二者均无,有,否,不及时,未曾回国,"工作安排或学业计划,签证因素，或担心返美时能否顺利入境,担心旅途期间增加感染几率,没买到机票或觉得票价过高",,,,,,,,,,,,,,2,1,3,1,比较满意,既不同意也不反对,,,,,,,,,,,,,,,,,,control,yes
2020-08-28 12:27:36,2020-08-28 13:35:44,IP Address,73.187.204.142,100,4087,TRUE,2020-08-28 13:35:45,R_3oUfS8iyWAH1sJk,,,,,40.810302734375,-77.88800048828130,anonymous,ZH-S,是,是,女,,1994,博士生在读,理科（包括医科、农科）,,安徽,Pennsylvania,专业技术人员（如科学家、工程师、教师、律师、医生等）,同意,同意,同意,同意,同意,硕士/博士研究生或以上,校内工作或实习收入（含全额奖学金）,从没有,都没有，但我相信我所在的城市有针对中国人的歧视现象,没有,非常严重,比较严重,一般,二者均无,有,是,及时,未曾回国,工作安排或学业计划,,,,,,,,,,,,,,5,1,3,2,比较满意,同意,,,,,,,,,,,,,,,,,,control,yes
2020-08-28 12:27:43,2020-08-28 12:31:50,IP Address,71.58.245.47,100,246,TRUE,2020-08-28 12:31:50,R_2ci48ppgqn6QMpC,,,,,40.810302734375,-77.88800048828130,anonymous,ZH-S,是,是,女,,2000,本科在读,工科,,其他,Pennsylvania,专业技术人员（如科学家、工程师、教师、律师、医生等）,同意,同意,强烈反对,同意,同意,本科（含预科）,校内工作或实习收入（含全额奖学金）,从没有,我遇到过,没有,非常严重,比较严重,一般,二者均无,有,是,无意见,未曾回国,"工作安排或学业计划,没买到机票或觉得票价过高",,,,,,,,,,,,,,4,3,1,1,比较满意,同意,,,,,,,,,2.565,10.047,10.943,7,0.889,4.181,13.062,4,,additive,yes
2020-08-28 12:27:46,2020-08-28 12:33:28,IP Address,73.230.120.38,100,341,TRUE,2020-08-28 12:33:28,R_3247UvMgG39hI7k,,,,,40.7957000732422000,-77.8618011474609000,anonymous,ZH-S,是,是,女,,1999,本科在读,商科,,四川,Pennsylvania,个体工商户,同意,同意,反对,同意,同意,本科（含预科）,"校外工作或实习收入,校内工作或实习收入（含全额奖学金）",从没有,我遇到过,没有,比较严重,一般,比较严重,二者均无,有,是,及时,未曾回国,"工作安排或学业计划,签证因素，或担心返美时能否顺利入境,没买到机票或觉得票价过高",,,,,,0.42,6.702,7.878,7,13.798,13.798,15.237,1,4,2,3,1,比较满意,同意,,,,,,,,,,,,,,,,,,positive,yes
2020-08-28 12:27:48,2020-08-28 12:34:47,IP Address,71.58.107.227,100,418,TRUE,2020-08-28 12:34:47,R_25NGr4ghEYdt2Bb,,,,,40.7957000732422000,-77.8618011474609000,anonymous,ZH-S,是,是,女,,1993,博士生在读,理科（包括医科、农科）,,湖北,Pennsylvania,专业技术人员（如科学家、工程师、教师、律师、医生等）,同意,同意,同意,同意,同意,硕士/博士研究生或以上,校内工作或实习收入（含全额奖学金）,曾经得到过补助，不过现在并没有,都没有，但我相信我所在的城市有针对中国人的歧视现象,没有,非常严重,比较严重,不怎么严重,二者均无,有,否,无意见,未曾回国,"工作安排或学业计划,签证因素，或担心返美时能否顺利入境,担心旅途期间增加感染几率,回国后的入境隔离会带来不便",,,,,,0,0,12.344,0,0,0,14.925,0,5,1,4,1,比较满意,同意,,,,,,,,,,,,,,,,,,positive,yes
2020-08-28 12:28:05,2020-08-28 12:31:45,IP Address,49.80.206.104,100,220,TRUE,2020-08-28 12:31:46,R_2ymfeBgzo9wxbZP,,,,,31.9051055908203000,120.26849365234400,anonymous,ZH-S,是,是,女,,1999,本科在读,人文学科及艺术,,江苏,Pennsylvania,私营企业主,同意,同意,同意,强烈同意,强烈同意,本科（含预科）,无收入,从没有,都没有，但我相信我所在的城市有针对中国人的歧视现象,没有,非常严重,比较严重,一般,二者均无,有,否,及时,已经或曾经回国,,,一般,酒店设施比较差,,,,,,,,,,,4,2,3,1,比较满意,同意,,,,,,,,,3.232,9.696,11.648,6,6.296,7.901,9.084,3,,additive,yes
2020-08-28 12:28:21,2020-08-28 12:31:58,IP Address,67.22.20.162,100,217,TRUE,2020-08-28 12:31:58,R_eqA9tfWJDbZ2ZAB,,,,,40.810302734375,-77.88800048828130,anonymous,ZH-S,是,是,男,,1997,博士生在读,理科（包括医科、农科）,,福建,Pennsylvania,专业技术人员（如科学家、工程师、教师、律师、医生等）,反对,同意,同意,同意,反对,高中,校内工作或实习收入（含全额奖学金）,从没有,我遇到过,没有,非常严重,比较严重,一般,收到过美国各级政府提供的现金或物资,有,是,及时,未曾回国,"工作安排或学业计划,签证因素，或担心返美时能否顺利入境",,,,,,,,,,,,,,5,1,4,1,比较满意,既不同意也不反对,0,0,11.301,0,3.961,4.521,6.462,2,,,,,,,,,,negative,yes
2020-08-28 12:28:25,2020-08-28 12:31:16,IP Address,66.253.164.127,100,171,TRUE,2020-08-28 12:31:17,R_123iQYZFwVOFoGR,,,,,40.7957000732422000,-77.8618011474609000,anonymous,ZH-S,是,是,男,,1998,本科在读,工科,,广东,Pennsylvania,私营企业或外资企业经理,反对,强烈同意,强烈同意,同意,同意,高中,无收入,从没有,我没有遇到过，但我认识的人遇到过,没有,比较严重,不怎么严重,并不严重,二者均无,有,否,无意见,未曾回国,"工作安排或学业计划,签证因素，或担心返美时能否顺利入境",,,,,,0,0,6.2,0,0,0,10.535,0,4,1,3,1,满意,既不同意也不反对,,,,,,,,,,,,,,,,,,positive,yes
2020-08-28 12:28:25,2020-08-28 12:31:44,IP Address,71.58.215.115,100,199,TRUE,2020-08-28 12:31:45,R_2pLYn0Wfx5k59ZO,,,,,40.7957000732422000,-77.8618011474609000,anonymous,ZH-S,是,是,男,,1999,本科在读,工科,,广东,Pennsylvania,党和国家干部（科级及以上）,反对,强烈反对,强烈同意,强烈同意,强烈同意,本科（含预科）,无收入,从没有,我没有遇到过，但我认识的人遇到过,没有,非常严重,比较严重,并不严重,二者均无,有,是,及时,未曾回国,"工作安排或学业计划,签证因素，或担心返美时能否顺利入境,担心旅途期间增加感染几率,没买到机票或觉得票价过高",,,,,,,,,,,,,,5,1,4,1,满意,强烈同意,0,0,4.718,0,0.789,4.267,6.866,4,,,,,,,,,,negative,yes
