"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","adult","citizen","psu","wave1","sex","sex_6_TEXT","age","education","edu_subject","edu_subject_6_TEXT","province","state","family","ideology_1","ideology_2","ideology_3","ideology_4","ideology_5","us_edu","income","china_assist","race_disc","Q48","covid_assess_1","covid_assess_2","covid_assess_3","covid_assess_2_1","covid_assess_2_2","covid_assess_2_3","us_aid","kit","kit_2","kit_got","kit_timely","return","return_reason","return_reason_5_TEXT","quar_assess","quar_reason","quar_reason_5_TEXT","quar_exempt","QID66_First.Click","QID66_Last.Click","QID66_Page.Submit","QID66_Click.Count","QID67_First.Click","QID67_Last.Click","QID67_Page.Submit","QID67_Click.Count","gov_assess_1","gov_assess_2","gov_assess_3","gov_assess_4","china_overall","china_gov","QID68_First.Click","QID68_Last.Click","QID68_Page.Submit","QID68_Click.Count","QID69_First.Click","QID69_Last.Click","QID69_Page.Submit","QID69_Click.Count","QID70_First.Click","QID70_Last.Click","QID70_Page.Submit","QID70_Click.Count","QID71_First.Click","QID71_Last.Click","QID71_Page.Submit","QID71_Click.Count","exclusion","group","finish"
"2021-03-26 21:39:10","2021-03-26 21:42:54","IP Address","38.98.170.131",100,223,TRUE,"2021-03-26 21:42:54","R_1dfSU7UsZRThfte",NA,NA,NA,NA,41.8710021972656,-87.6288986206055,"anonymous","ZH-S","是","是","是","否","女","",1994,"研究生在读","人文学科及艺术","","湖南","Illinois","基层公务员或国有企业基层白领","同意","反对","反对","强烈同意","同意","硕士/博士研究生或以上","无收入","从没有","我遇到过","有，在我认识的人当中，有人在美国被感染","比较严重","比较严重","比较严重","","","","二者均无","有","","是","及时","未曾回国","工作安排或学业计划","","","","","",2.462,10.063,10.097,5,1.334,5.97,8.831,3,4,2,3,2,"比较满意","同意",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","positive","yes"
"2021-03-26 21:43:29","2021-03-26 21:47:46","IP Address","96.42.92.46",100,257,TRUE,"2021-03-26 21:47:47","R_3EmWM4GIhqRNkGJ",NA,NA,NA,NA,44.0090026855469,-92.3934020996094,"anonymous","ZH-S","是","是","是","否","女","",1991,"博士后","理科（包括医科、农科）","","天津","Minnesota","专业技术人员（如科学家、工程师、教师、律师、医生等）","反对","反对","反对","强烈同意","同意","硕士/博士研究生或以上","校外工作或实习收入","从没有","我没有遇到过，但我认识的人遇到过","有，在我认识的人当中，有人在美国被感染","非常严重","一般","不怎么严重","","","","收到过美国各级政府提供的现金或物资","有","","是","及时","未曾回国","工作安排或学业计划,签证因素，或担心返美时能否顺利入境,担心旅途期间增加感染几率","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,5,1,4,1,"满意","强烈同意",0,0,4.794,0,0,0,6.458,0,NA,NA,NA,NA,NA,NA,NA,NA,"","negative","yes"
"2021-03-26 21:51:16","2021-03-26 21:55:28","IP Address","69.174.156.166",100,251,TRUE,"2021-03-26 21:55:28","R_2S19AMDmK02hiKX",NA,NA,NA,NA,40.4443969726563,-86.9255981445313,"anonymous","ZH-S","是","是","是","否","女","",1988,"博士生在读","社会科学及法学","","北京","Indiana","党和国家干部（科级及以上）,专业技术人员（如科学家、工程师、教师、律师、医生等）","强烈同意","强烈同意","强烈反对","反对","强烈反对","硕士/博士研究生或以上","校内工作或实习收入（含全额奖学金）","从没有","我遇到过","没有","比较严重","比较严重","不怎么严重","","","","收到过美国各级政府提供的现金或物资","不清楚","","","","未曾回国","工作安排或学业计划,担心旅途期间增加感染几率,回国后的入境隔离会带来不便","","","","","",3.038,3.038,6.098,1,0,0,5.571,0,5,2,2,4,"一般","既不同意也不反对",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","positive","yes"
"2021-03-26 22:04:57","2021-03-26 22:08:40","IP Address","50.216.11.162",100,222,TRUE,"2021-03-26 22:08:40","R_77n6X4LvJvcPbhv",NA,NA,NA,NA,44.9763946533203,-93.2239990234375,"anonymous","ZH-S","是","是","是","否","男","",1995,"博士生在读","社会科学及法学","","甘肃","Minnesota","党和国家干部（科级及以上）","强烈同意","强烈同意","强烈反对","强烈反对","强烈反对","硕士/博士研究生或以上","校内工作或实习收入（含全额奖学金）","从没有","都没有。但我相信在我居住的城市，或者我就读大学所在的城市，有针对中国人的歧视现象","没有","比较严重","一般","一般","","","","二者均无","有","","否","无意见","未曾回国","没买到机票或觉得票价过高,回国后的入境隔离会带来不便","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,3,"比较不满意","强烈反对",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","control","yes"
"2021-03-26 22:10:52","2021-03-26 22:14:17","IP Address","174.139.126.225",100,205,TRUE,"2021-03-26 22:14:18","R_2RUIZ3DOt4g3BZo",NA,NA,NA,NA,45.5247955322266,-122.678901672363,"qr","ZH-S","是","是","是","否","男","",1992,"博士生在读","社会科学及法学","","福建","Texas","私营企业主","强烈同意","反对","反对","反对","反对","硕士/博士研究生或以上","校内工作或实习收入（含全额奖学金）","从没有","我遇到过","有，在我认识的人当中，有人在美国被感染","非常严重","非常严重","非常严重","","","","二者均无","有","","是","及时","已经或曾经回国","","","非常好","没有不满意的地方","","",NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,2,"比较满意","强烈同意",NA,NA,NA,NA,NA,NA,NA,NA,0.93,17.822,19.25,15,1.08,16.621,18.018,8,"","additive","yes"
"2021-03-26 22:15:55","2021-03-26 22:20:16","IP Address","113.252.223.98",100,260,TRUE,"2021-03-26 22:20:17","R_qECdBmOXKFckCbL",NA,NA,NA,NA,22.2794952392578,114.14599609375,"anonymous","ZH-S","是","是","是","否","男","",1990,"博士后","商科","","山东","Illinois","专业技术人员（如科学家、工程师、教师、律师、医生等）","同意","反对","同意","同意","反对","本科（含预科）","校外工作或实习收入,校内工作或实习收入（含全额奖学金）","从没有","我没有遇到过，但我认识的人遇到过","有，在我认识的人当中，有人在美国被感染","比较严重","比较严重","比较严重","","","","收到过美国各级政府提供的现金或物资","不清楚","","","","已经或曾经回国","","","一般","其他","","",NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,"一般","同意",NA,NA,NA,NA,NA,NA,NA,NA,1.48,9.395,11.791,5,1.216,7.267,8.475,7,"","additive","yes"
"2021-03-26 22:21:30","2021-03-26 22:24:49","IP Address","73.152.17.170",100,198,TRUE,"2021-03-26 22:24:50","R_1imQ4yRN1KAVfZs",NA,NA,NA,NA,38.0935974121094,-78.5623016357422,"anonymous","ZH-S","是","是","是","否","男","",1996,"博士生在读","人文学科及艺术","","河北","Virginia","基层公务员或国有企业基层白领","同意","同意","反对","反对","反对","硕士/博士研究生或以上","校内工作或实习收入（含全额奖学金）","从没有","我遇到过","有，在我认识的人当中，有人在美国被感染","非常严重","比较严重","一般","","","","二者均无","有","","是","无意见","未曾回国","签证因素，或担心返美时能否顺利入境,回国后的入境隔离会带来不便","","","","","",1.982,2.341,7.77,2,2.756,5.312,7.926,2,4,3,2,1,"一般","既不同意也不反对",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","positive","yes"
"2021-03-26 22:34:08","2021-03-26 22:38:18","IP Address","172.58.19.167",100,250,TRUE,"2021-03-26 22:38:19","R_3QDHeRm9LbJb1JX",NA,NA,NA,NA,33.8404998779297,-117.952598571777,"qr","ZH-S","是","是","是","否","女","",1995,"博士生在读","理科（包括医科、农科）","","江西","Arizona","专业技术人员（如科学家、工程师、教师、律师、医生等）,个体工商户","反对","同意","反对","同意","反对","硕士/博士研究生或以上","校内工作或实习收入（含全额奖学金）","从没有","我遇到过","没有","非常严重","一般","一般","","","","二者均无","不清楚","","","","未曾回国","工作安排或学业计划,签证因素，或担心返美时能否顺利入境,回国后的入境隔离会带来不便","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,5,1,3,3,"满意","同意",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","control","yes"
"2021-03-26 22:35:29","2021-03-26 22:39:16","IP Address","99.72.242.54",100,226,TRUE,"2021-03-26 22:39:16","R_1QxVNhnq8CfhF8o",NA,NA,NA,NA,43.1204986572266,-89.3523025512695,"anonymous","ZH-S","是","是","是","否","男","",1995,"研究生在读","人文学科及艺术","","广东","Washington","基层公务员或国有企业基层白领","强烈同意","强烈同意","反对","同意","同意","硕士/博士研究生或以上","校外工作或实习收入,校内工作或实习收入（含全额奖学金）,其他形式收入（如房屋租赁、商业经营）","从没有","我遇到过","有，在我认识的人当中，有人在美国被感染","非常严重","一般","一般","","","","二者均有","不清楚","","","","未曾回国","工作安排或学业计划","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,"一般","既不同意也不反对",2.826,2.826,4.181,1,1.615,6.445,7.26,5,NA,NA,NA,NA,NA,NA,NA,NA,"","negative","yes"
"2021-03-26 22:35:45","2021-03-26 22:40:16","IP Address","100.15.121.64",100,271,TRUE,"2021-03-26 22:40:17","R_2CwVmV6ZXEQCsra",NA,NA,NA,NA,39.0012969970703,-76.8880004882813,"anonymous","ZH-S","是","是","是","否","男","",1990,"博士生在读","社会科学及法学","","四川","Maryland","专业技术人员（如科学家、工程师、教师、律师、医生等）","同意","同意","同意","强烈反对","反对","硕士/博士研究生或以上","校内工作或实习收入（含全额奖学金）","从没有","我没有遇到过，但我认识的人遇到过","有，在中国和美国都有我认识的人被感染","非常严重","比较严重","比较严重","","","","二者均无","有","","是","及时","未曾回国","签证因素，或担心返美时能否顺利入境","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,3,"比较满意","同意",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","control","yes"
